team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,34,75,6,13,8,22,7,28,28,7,8,12,26
DENVER NUGGETS,240,33,76,7,17,20,31,10,35,20,7,10,16,23
SACRAMENTO KINGS,240,45,99,14,33,24,31,16,27,24,14,6,10,19
HOUSTON ROCKETS,240,46,97,4,19,14,19,17,34,31,8,4,20,26
SAN ANTONIO SPURS,240,30,69,3,9,25,36,13,31,16,7,5,20,20
MILWAUKEE BUCKS,240,38,85,9,17,14,17,13,27,19,7,3,13,28
SEATTLE SUPERSONICS,240,37,85,10,27,26,35,13,23,21,13,1,8,26
VANCOUVER GRIZZLIES,240,40,74,5,10,23,33,15,40,20,2,5,21,26
TORONTO RAPTORS,240,28,85,6,18,19,30,15,31,19,11,1,16,30
WASHINGTON WIZARDS,240,30,76,2,10,30,37,12,44,17,9,1,18,27
