team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,39,84,6,15,26,29,11,35,26,10,1,14,19
BOSTON CELTICS,240,31,75,7,16,23,28,8,32,19,7,3,21,28
MILWAUKEE BUCKS,240,38,77,10,18,25,29,13,25,22,6,3,14,29
CHARLOTTE HORNETS,240,41,79,6,18,29,36,10,22,34,7,3,10,25
LOS ANGELES LAKERS,240,32,81,5,12,20,24,12,30,20,10,4,15,29
HOUSTON ROCKETS,240,30,74,6,19,22,33,12,32,19,8,6,16,25
SAN ANTONIO SPURS,240,36,85,5,9,22,28,15,30,22,6,4,16,20
LOS ANGELES CLIPPERS,240,32,71,5,13,25,33,8,32,13,8,8,18,28
PHOENIX SUNS,240,40,85,3,10,21,26,18,35,18,12,7,21,24
NEW JERSEY NETS,240,32,84,2,14,23,28,14,27,11,11,6,16,25
PHILADELPHIA 76ERS,240,43,91,5,10,14,21,16,31,26,4,9,15,26
ORLANDO MAGIC,240,44,86,3,11,19,25,10,30,30,8,7,11,22
ATLANTA HAWKS,265,39,92,1,7,18,24,10,31,17,9,7,14,18
VANCOUVER GRIZZLIES,265,44,92,1,6,13,16,15,34,27,9,10,18,24
SEATTLE SUPERSONICS,240,45,87,9,25,10,15,8,29,30,7,4,16,18
WASHINGTON WIZARDS,240,43,90,2,14,7,12,11,28,23,8,5,19,17
