team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,34,89,6,18,11,15,13,28,18,3,6,11,19
BOSTON CELTICS,240,37,82,9,16,12,21,13,38,23,7,2,13,20
SAN ANTONIO SPURS,240,34,84,6,12,20,29,14,39,21,7,15,15,24
PHILADELPHIA 76ERS,240,34,92,4,10,19,26,14,35,17,11,6,10,23
MINNESOTA TIMBERWOLVES,240,35,73,1,8,22,27,9,23,21,5,7,17,25
UTAH JAZZ,240,45,78,5,10,13,19,6,24,31,5,3,12,25
