team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,34,79,3,9,23,27,12,33,26,5,11,16,21
LOS ANGELES CLIPPERS,240,29,86,4,11,24,30,18,28,15,7,7,12,25
PHOENIX SUNS,240,38,88,6,14,15,22,11,26,22,5,0,9,27
LOS ANGELES LAKERS,240,43,82,5,17,18,30,18,35,28,4,6,16,24
PORTLAND TRAIL BLAZERS,240,31,75,1,12,29,35,10,36,14,5,1,11,16
NEW YORK KNICKS,240,36,83,6,24,11,14,7,31,24,5,2,9,22
MIAMI HEAT,240,28,94,2,9,12,20,22,35,11,5,5,13,19
SACRAMENTO KINGS,240,35,80,9,19,17,24,9,46,19,9,14,14,16
NEW ORLEANS HORNETS,240,33,70,3,6,30,37,7,29,20,7,3,9,21
TORONTO RAPTORS,240,30,72,4,11,20,27,10,25,17,6,2,11,27
