team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MEMPHIS GRIZZLIES,240,35,81,5,24,14,20,12,35,17,6,3,18,17
BOSTON CELTICS,240,37,88,12,27,10,11,13,27,24,11,5,13,17
PORTLAND TRAIL BLAZERS,240,31,74,4,14,21,31,10,25,17,11,3,16,21
CHICAGO BULLS,240,35,80,7,16,25,28,16,32,25,8,8,16,25
MILWAUKEE BUCKS,240,31,82,2,7,16,18,14,29,18,6,2,11,20
HOUSTON ROCKETS,240,38,76,9,22,18,24,9,35,21,5,11,14,16
PHILADELPHIA 76ERS,240,31,85,1,8,20,24,13,39,14,10,5,13,25
LOS ANGELES CLIPPERS,240,29,83,2,11,15,28,16,38,20,7,13,19,23
INDIANA PACERS,240,33,81,5,17,18,22,10,33,21,11,7,12,14
NEW ORLEANS HORNETS,240,36,86,6,17,8,8,10,37,23,6,7,17,21
SAN ANTONIO SPURS,240,36,82,8,18,23,29,16,27,22,7,9,18,26
WASHINGTON WIZARDS,240,35,72,2,8,33,40,9,29,18,8,5,13,22
