team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW ORLEANS HORNETS,240,48,88,5,8,14,19,12,25,31,11,2,9,17
CHICAGO BULLS,240,36,79,1,8,17,22,13,27,19,5,9,20,20
DENVER NUGGETS,240,34,85,4,13,17,27,15,22,21,9,3,15,31
GOLDEN STATE WARRIORS,240,32,63,6,9,40,46,9,33,20,4,9,18,20
SAN ANTONIO SPURS,240,25,73,1,7,24,35,13,23,9,9,5,7,21
HOUSTON ROCKETS,240,35,77,2,8,17,18,18,35,19,4,7,16,24
MEMPHIS GRIZZLIES,240,34,91,7,19,16,20,14,27,26,10,5,11,20
LOS ANGELES LAKERS,240,40,79,10,15,11,20,10,37,31,5,16,19,18
ATLANTA HAWKS,240,29,80,4,13,10,25,19,32,14,14,10,25,23
NEW JERSEY NETS,240,32,83,3,9,20,27,17,32,12,11,8,20,20
MINNESOTA TIMBERWOLVES,240,37,85,3,9,9,12,11,35,24,5,3,15,20
SACRAMENTO KINGS,240,39,83,7,15,13,21,8,33,21,7,9,12,13
MILWAUKEE BUCKS,240,31,83,2,10,14,20,10,30,19,9,4,12,23
WASHINGTON WIZARDS,240,38,82,3,9,24,33,14,40,25,4,8,13,20
