team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,35,79,4,18,31,35,6,36,20,11,2,14,17
ATLANTA HAWKS,240,39,90,8,18,16,20,12,32,26,5,3,17,27
INDIANA PACERS,240,33,79,0,11,9,15,11,28,17,9,7,12,21
CHICAGO BULLS,240,33,86,5,13,15,21,20,33,20,8,1,10,15
BOSTON CELTICS,240,36,76,3,12,30,37,10,22,22,9,3,10,25
CLEVELAND CAVALIERS,240,36,81,2,9,24,30,22,28,23,6,6,20,28
PHOENIX SUNS,240,35,86,2,14,19,24,10,26,19,9,3,11,23
LOS ANGELES CLIPPERS,240,39,82,4,9,24,30,16,37,20,6,3,18,22
NEW JERSEY NETS,240,25,73,2,11,11,16,13,24,16,10,1,30,24
MEMPHIS GRIZZLIES,240,44,71,8,16,14,21,4,32,32,18,9,17,19
DENVER NUGGETS,240,32,81,3,11,21,26,12,27,15,12,5,14,25
NEW YORK KNICKS,240,35,75,3,8,22,29,10,31,25,7,10,17,20
LOS ANGELES LAKERS,240,42,83,2,8,22,27,10,28,24,9,3,9,18
PORTLAND TRAIL BLAZERS,240,45,88,9,19,13,20,14,31,29,5,1,11,22
HOUSTON ROCKETS,240,24,72,5,13,20,25,14,28,14,5,6,13,19
SAN ANTONIO SPURS,240,34,74,6,15,12,18,11,32,24,5,3,8,22
