team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MILWAUKEE BUCKS,240,42,83,7,11,15,21,5,26,30,8,7,7,23
ATLANTA HAWKS,240,35,88,4,14,20,28,21,35,18,3,5,19,21
WASHINGTON WIZARDS,240,26,81,4,25,16,25,15,29,12,9,12,16,14
DALLAS MAVERICKS,240,40,96,2,13,15,17,22,41,24,11,4,13,22
CLEVELAND CAVALIERS,240,42,96,4,10,15,24,24,27,24,14,6,23,33
DENVER NUGGETS,240,41,77,6,9,27,39,11,26,27,12,15,20,20
NEW ORLEANS HORNETS,240,38,94,6,23,18,26,18,32,21,12,5,13,25
ORLANDO MAGIC,240,34,90,5,16,18,25,21,37,19,4,5,20,26
TORONTO RAPTORS,240,34,72,7,15,20,29,6,37,23,6,9,15,28
PHILADELPHIA 76ERS,240,30,87,3,17,25,33,18,31,19,6,3,13,25
