team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,33,85,6,23,20,22,11,22,26,10,3,6,20
CLEVELAND CAVALIERS,240,37,71,3,10,12,22,11,34,25,2,7,18,22
MILWAUKEE BUCKS,240,35,81,8,18,14,15,9,33,24,4,5,9,18
DALLAS MAVERICKS,240,41,87,3,16,16,21,13,36,22,4,4,6,13
TORONTO RAPTORS,240,32,71,5,13,12,14,8,37,25,10,2,21,20
DENVER NUGGETS,240,29,76,4,14,12,16,9,27,23,12,5,17,21
SEATTLE SUPERSONICS,240,39,83,11,23,16,19,14,30,27,11,6,17,27
MEMPHIS GRIZZLIES,240,37,86,4,19,21,27,16,26,23,9,11,16,24
CHICAGO BULLS,240,37,95,4,18,15,23,14,30,27,13,0,9,25
MINNESOTA TIMBERWOLVES,240,39,77,3,10,17,29,6,41,28,2,4,16,21
MIAMI HEAT,240,22,63,7,16,22,28,5,23,15,2,2,13,22
NEW YORK KNICKS,240,41,74,5,13,15,19,9,33,24,7,3,11,29
ATLANTA HAWKS,240,38,87,0,8,7,13,11,37,20,14,4,12,25
WASHINGTON WIZARDS,240,26,76,4,15,17,25,12,35,18,5,9,19,15
