team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,38,92,7,12,19,23,17,25,19,8,4,7,20
ATLANTA HAWKS,240,38,81,4,12,23,27,11,33,18,5,11,12,19
MINNESOTA TIMBERWOLVES,240,34,84,4,11,15,27,9,41,21,10,6,6,17
BOSTON CELTICS,240,25,82,2,10,16,17,11,40,15,1,3,17,18
CHICAGO BULLS,240,34,80,2,9,11,16,9,21,19,6,1,13,24
CHARLOTTE HORNETS,240,44,77,4,9,18,28,12,34,30,9,12,14,15
HOUSTON ROCKETS,240,36,72,1,11,15,18,4,39,15,7,5,13,15
DALLAS MAVERICKS,240,31,87,4,13,12,18,18,25,16,9,9,10,18
GOLDEN STATE WARRIORS,240,37,78,2,6,16,23,13,28,15,9,2,14,21
LOS ANGELES CLIPPERS,240,33,76,0,11,14,24,10,28,12,8,6,16,19
PHOENIX SUNS,240,37,85,1,5,31,38,12,32,22,9,7,11,21
LOS ANGELES LAKERS,240,41,89,3,14,16,23,11,37,16,4,6,17,32
MIAMI HEAT,240,29,72,4,21,22,36,13,36,20,5,5,13,18
MILWAUKEE BUCKS,240,29,76,1,8,17,20,7,31,15,6,3,12,27
DETROIT PISTONS,240,35,69,5,12,9,11,3,37,20,7,4,18,22
NEW JERSEY NETS,240,23,72,3,15,22,32,12,29,14,7,4,15,17
NEW YORK KNICKS,240,39,88,6,18,7,11,9,34,17,11,1,16,27
SACRAMENTO KINGS,240,31,72,8,22,22,33,7,32,19,8,3,18,14
WASHINGTON WIZARDS,240,38,77,7,15,13,25,11,21,23,9,4,12,22
SEATTLE SUPERSONICS,240,35,77,4,12,18,24,15,30,20,6,3,17,22
PHILADELPHIA 76ERS,265,36,81,3,7,20,29,13,26,22,12,13,16,28
VANCOUVER GRIZZLIES,265,33,78,3,11,21,27,13,29,21,8,6,21,24
