team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,25,71,2,8,30,42,8,30,16,9,10,12,24
INDIANA PACERS,240,36,85,3,13,18,26,15,33,20,6,6,12,30
LOS ANGELES CLIPPERS,240,23,73,4,12,25,31,11,20,12,10,6,18,30
LOS ANGELES LAKERS,240,34,79,1,4,25,35,18,35,17,9,5,20,21
ATLANTA HAWKS,240,32,80,2,14,12,15,16,29,17,8,3,13,24
MIAMI HEAT,240,30,71,8,15,20,28,11,31,15,7,7,14,21
SEATTLE SUPERSONICS,240,36,75,5,18,20,29,10,23,24,8,2,14,18
MILWAUKEE BUCKS,240,41,81,6,12,13,22,15,27,20,7,5,13,26
CHARLOTTE HORNETS,240,29,86,6,22,6,8,14,26,23,14,6,22,17
PHILADELPHIA 76ERS,240,33,79,3,6,16,25,16,38,19,17,6,23,16
CLEVELAND CAVALIERS,240,34,74,2,6,16,21,9,33,24,10,1,13,21
PHOENIX SUNS,240,29,82,3,16,12,14,12,27,24,3,4,13,21
ORLANDO MAGIC,240,32,75,4,12,11,14,7,28,18,11,3,14,17
SAN ANTONIO SPURS,240,36,70,1,3,8,14,5,28,28,10,4,20,21
DETROIT PISTONS,240,36,80,2,14,13,24,16,30,20,8,2,14,13
WASHINGTON WIZARDS,240,41,76,6,11,9,13,5,32,25,7,3,16,24
