team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,240,36,88,0,8,15,22,16,26,20,6,6,18,27
CHARLOTTE HORNETS,240,36,72,5,9,28,36,9,33,26,9,4,18,24
NEW JERSEY NETS,240,30,69,2,8,25,36,10,30,16,12,7,21,23
CHICAGO BULLS,240,37,81,5,13,24,36,12,27,24,13,5,15,25
PHOENIX SUNS,240,42,86,9,13,10,13,13,27,26,3,3,8,19
DALLAS MAVERICKS,240,38,78,4,15,11,21,12,27,26,5,4,11,18
VANCOUVER GRIZZLIES,240,33,81,4,10,12,19,13,28,20,9,4,15,21
GOLDEN STATE WARRIORS,240,41,85,2,7,8,19,17,40,32,9,4,20,18
DENVER NUGGETS,240,23,77,4,17,25,33,19,25,12,10,2,15,19
HOUSTON ROCKETS,240,33,65,4,14,14,21,7,30,24,11,7,20,24
LOS ANGELES LAKERS,240,34,71,1,6,34,48,16,30,13,10,8,20,29
LOS ANGELES CLIPPERS,240,36,80,4,8,23,39,16,18,16,9,6,12,35
SEATTLE SUPERSONICS,240,34,82,6,19,10,13,17,29,25,3,3,15,17
MINNESOTA TIMBERWOLVES,240,38,91,2,15,7,10,22,29,26,5,8,11,17
MILWAUKEE BUCKS,240,33,74,7,12,14,23,11,29,21,8,5,15,17
NEW YORK KNICKS,240,31,76,5,20,19,25,12,30,18,6,2,14,18
SACRAMENTO KINGS,240,38,87,7,20,15,27,12,38,21,7,2,12,19
PORTLAND TRAIL BLAZERS,240,41,89,5,16,16,22,11,35,26,8,6,9,19
CLEVELAND CAVALIERS,240,22,64,3,9,28,33,6,22,16,7,1,18,36
UTAH JAZZ,240,28,60,1,10,31,41,9,35,22,11,7,20,31
