team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,37,91,4,19,17,24,15,30,21,12,0,7,32
LOS ANGELES LAKERS,240,35,76,4,11,27,48,15,36,22,3,10,15,22
GOLDEN STATE WARRIORS,240,27,81,3,8,21,34,22,26,12,8,3,18,27
MILWAUKEE BUCKS,240,36,76,7,12,27,33,12,36,25,9,7,14,28
CHARLOTTE HORNETS,240,31,68,4,10,10,13,5,29,19,6,4,21,24
ORLANDO MAGIC,240,36,81,7,16,14,22,14,27,28,10,5,11,17
CHICAGO BULLS,240,32,76,2,10,20,30,15,20,22,10,6,20,25
PHILADELPHIA 76ERS,240,40,82,3,7,19,26,16,25,23,14,5,17,28
PORTLAND TRAIL BLAZERS,265,39,88,5,12,14,19,11,39,23,8,4,14,23
SACRAMENTO KINGS,265,35,94,5,23,18,26,16,37,19,5,5,13,15
VANCOUVER GRIZZLIES,240,31,76,8,17,16,24,8,23,20,10,2,13,25
UTAH JAZZ,240,41,73,3,8,24,30,10,35,31,9,4,16,20
INDIANA PACERS,240,40,75,5,14,21,26,9,28,26,4,7,13,18
WASHINGTON WIZARDS,240,40,87,3,12,12,16,14,23,27,6,3,11,18
