team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,32,89,3,13,7,12,18,19,22,9,1,14,23
CLEVELAND CAVALIERS,240,35,69,4,12,24,33,10,32,29,8,7,15,22
PHILADELPHIA 76ERS,240,36,82,1,9,22,30,17,25,18,8,4,13,23
INDIANA PACERS,240,33,76,5,16,28,31,14,27,19,7,4,13,26
HOUSTON ROCKETS,265,36,94,2,16,19,28,24,33,16,9,4,20,21
NEW JERSEY NETS,265,38,85,2,7,14,20,11,28,21,13,6,16,28
WASHINGTON WIZARDS,240,29,73,2,6,35,48,10,30,21,15,5,9,30
TORONTO RAPTORS,240,29,75,0,6,30,42,18,31,26,5,3,20,32
DENVER NUGGETS,240,29,76,9,22,19,28,11,22,17,8,8,12,22
UTAH JAZZ,240,36,74,2,7,23,28,10,32,23,6,6,17,23
