team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW JERSEY NETS,240,34,84,3,12,13,16,8,27,21,12,6,17,32
CLEVELAND CAVALIERS,240,28,67,2,7,31,39,6,30,24,9,3,20,23
DALLAS MAVERICKS,240,41,91,5,13,18,26,17,37,19,7,7,10,20
LOS ANGELES CLIPPERS,240,38,84,4,13,10,18,8,33,19,6,7,12,24
HOUSTON ROCKETS,240,27,70,3,12,14,18,12,35,11,5,3,12,20
MIAMI HEAT,240,29,75,6,17,17,20,12,29,21,3,3,7,14
INDIANA PACERS,240,33,75,7,22,9,14,9,29,19,6,3,11,20
MILWAUKEE BUCKS,240,32,74,4,12,12,18,11,29,20,6,2,8,19
ATLANTA HAWKS,240,26,68,4,8,20,26,9,36,17,9,7,18,17
PHILADELPHIA 76ERS,240,26,81,1,3,16,23,17,23,15,13,10,14,19
GOLDEN STATE WARRIORS,240,33,78,4,10,14,23,11,24,16,11,5,14,32
PORTLAND TRAIL BLAZERS,240,29,82,5,15,27,39,21,34,20,6,6,16,22
SEATTLE SUPERSONICS,240,29,74,4,15,18,26,9,19,21,6,3,17,21
UTAH JAZZ,240,45,82,5,9,15,21,15,34,34,8,8,13,25
