team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,33,70,3,7,18,29,12,33,16,9,7,16,20
CHICAGO BULLS,240,32,87,2,13,5,14,17,21,18,8,6,11,28
UTAH JAZZ,240,37,77,1,4,15,20,12,33,21,10,5,14,22
DALLAS MAVERICKS,240,26,74,3,16,24,32,15,29,16,7,10,18,20
BOSTON CELTICS,240,38,93,7,20,25,34,23,24,19,11,6,14,38
MIAMI HEAT,240,28,67,4,14,41,50,11,29,18,9,7,17,28
SAN ANTONIO SPURS,240,28,69,2,7,12,20,9,36,20,3,7,18,14
MINNESOTA TIMBERWOLVES,240,34,89,0,4,6,14,15,28,23,9,11,8,21
DETROIT PISTONS,240,32,74,5,14,17,24,16,24,15,6,5,22,24
PHILADELPHIA 76ERS,240,33,82,3,8,21,32,20,24,18,18,13,12,21
SACRAMENTO KINGS,240,44,86,6,14,18,28,14,36,26,10,6,18,30
PHOENIX SUNS,240,32,89,5,11,26,34,18,29,19,6,6,15,21
GOLDEN STATE WARRIORS,240,25,71,5,13,16,30,13,29,14,8,4,20,31
SEATTLE SUPERSONICS,240,33,72,4,7,20,35,13,30,24,14,5,18,24
MILWAUKEE BUCKS,240,37,78,4,12,13,17,8,31,20,13,6,16,26
TORONTO RAPTORS,240,27,77,4,18,19,32,17,30,21,8,4,22,14
