team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,29,83,1,10,20,30,18,29,16,11,6,19,17
BOSTON CELTICS,240,45,91,10,18,11,19,16,34,32,13,7,13,21
MIAMI HEAT,240,33,78,5,13,20,29,15,30,22,9,8,12,25
CHARLOTTE HORNETS,240,27,69,4,16,25,31,7,27,15,5,4,14,23
UTAH JAZZ,240,29,63,1,7,28,40,11,22,21,7,4,18,28
DENVER NUGGETS,240,34,74,6,18,23,28,13,17,18,9,10,13,29
CLEVELAND CAVALIERS,240,27,66,0,7,19,24,9,31,21,9,0,21,20
DETROIT PISTONS,240,31,73,11,25,16,21,8,30,23,12,9,13,23
TORONTO RAPTORS,240,27,86,0,6,30,33,22,25,6,8,5,8,17
INDIANA PACERS,240,42,78,5,11,15,16,8,32,23,7,4,9,22
PORTLAND TRAIL BLAZERS,240,36,84,5,21,17,25,13,33,22,7,6,17,14
NEW JERSEY NETS,240,36,81,1,5,12,15,10,30,18,8,10,18,21
SACRAMENTO KINGS,240,31,80,6,20,13,26,14,35,18,7,7,24,17
PHILADELPHIA 76ERS,240,41,97,1,5,11,16,16,34,20,13,3,14,18
SEATTLE SUPERSONICS,240,26,76,2,14,27,45,18,26,17,10,6,16,25
SAN ANTONIO SPURS,240,37,78,5,10,20,25,15,34,20,8,3,16,31
