team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHICAGO BULLS,240,31,74,4,13,23,25,8,28,17,7,4,15,23
CLEVELAND CAVALIERS,240,35,69,4,9,22,32,6,30,30,7,5,15,23
GOLDEN STATE WARRIORS,240,27,88,1,8,19,28,21,28,9,6,4,7,17
HOUSTON ROCKETS,240,47,86,10,23,7,12,12,34,29,4,11,10,18
PHOENIX SUNS,240,37,70,5,13,9,13,12,31,21,6,5,24,18
LOS ANGELES CLIPPERS,240,33,75,3,12,14,21,11,19,19,8,2,15,18
UTAH JAZZ,240,37,70,1,8,31,44,15,27,25,4,5,12,27
LOS ANGELES LAKERS,240,33,79,1,8,26,34,14,22,18,4,8,7,27
ORLANDO MAGIC,240,31,81,4,16,15,23,13,29,23,12,5,14,11
NEW YORK KNICKS,240,32,81,3,13,5,9,14,35,18,7,2,22,22
MILWAUKEE BUCKS,240,30,79,5,17,22,27,17,22,25,6,5,11,29
PHILADELPHIA 76ERS,240,28,66,3,8,36,42,13,27,12,7,5,13,22
VANCOUVER GRIZZLIES,240,36,80,2,11,15,22,17,25,17,6,3,15,22
PORTLAND TRAIL BLAZERS,240,35,67,5,10,23,38,11,26,23,9,10,13,21
SACRAMENTO KINGS,265,45,83,8,20,14,24,9,37,31,10,5,21,20
SEATTLE SUPERSONICS,265,44,99,10,22,8,13,13,30,31,13,4,16,21
MIAMI HEAT,240,37,81,4,14,14,21,17,36,23,4,12,12,24
TORONTO RAPTORS,240,24,81,3,12,19,34,21,26,11,8,10,11,24
NEW JERSEY NETS,240,35,81,4,12,23,27,14,30,12,10,2,14,13
WASHINGTON WIZARDS,240,43,86,3,13,4,5,9,28,33,10,8,15,23
