team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
HOUSTON ROCKETS,265,39,84,3,14,17,28,13,38,19,8,5,11,14
DALLAS MAVERICKS,265,39,101,6,17,11,15,23,32,20,6,7,11,24
MINNESOTA TIMBERWOLVES,240,27,81,5,15,24,36,16,32,13,3,1,12,24
LOS ANGELES LAKERS,240,35,77,4,16,22,26,7,38,15,5,3,9,25
PORTLAND TRAIL BLAZERS,240,36,80,6,13,21,24,15,18,17,13,4,13,26
MEMPHIS GRIZZLIES,240,38,71,6,11,20,30,15,27,24,8,7,19,22
CHICAGO BULLS,265,40,87,7,17,17,23,13,33,27,10,8,14,18
NEW YORK KNICKS,265,39,88,7,21,16,16,8,34,28,8,3,14,20
NEW JERSEY NETS,265,43,92,2,12,13,19,15,38,30,9,6,22,18
ORLANDO MAGIC,265,40,97,10,29,9,14,13,27,21,11,4,14,15
UTAH JAZZ,240,42,88,1,6,12,16,14,26,28,12,1,9,21
PHOENIX SUNS,240,37,71,5,13,17,26,9,31,23,4,7,18,17
