team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
CHARLOTTE HORNETS,240,35,78,4,10,19,20,7,33,24,8,8,8,16
ATLANTA HAWKS,240,32,88,3,19,19,22,20,27,14,4,4,10,19
CHICAGO BULLS,240,39,81,5,11,18,19,5,27,30,3,6,13,23
CLEVELAND CAVALIERS,240,48,101,3,10,21,27,23,34,34,11,6,9,20
PHOENIX SUNS,240,42,78,8,15,12,18,9,19,24,6,3,11,25
MINNESOTA TIMBERWOLVES,240,42,74,3,9,21,23,10,28,31,7,4,14,16
GOLDEN STATE WARRIORS,240,39,88,2,13,6,9,10,29,26,6,7,18,12
PORTLAND TRAIL BLAZERS,240,50,102,2,12,11,11,17,37,33,12,5,11,13
DALLAS MAVERICKS,240,35,82,5,22,12,19,8,33,12,5,2,13,32
SAN ANTONIO SPURS,240,29,68,4,10,27,45,11,35,16,9,5,12,24
MEMPHIS GRIZZLIES,240,31,74,2,13,21,34,11,37,20,5,14,15,20
WASHINGTON WIZARDS,240,36,95,2,9,14,20,19,39,24,9,2,8,25
