team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHOENIX SUNS,240,39,79,11,18,15,22,9,27,26,7,7,10,21
MILWAUKEE BUCKS,240,39,81,3,16,15,22,16,25,18,9,5,11,23
WASHINGTON WIZARDS,240,37,83,2,10,12,13,6,23,25,7,4,18,17
MINNESOTA TIMBERWOLVES,240,44,84,1,9,16,17,9,33,31,8,8,15,15
DENVER NUGGETS,240,34,85,2,15,23,31,13,27,13,9,4,10,24
ORLANDO MAGIC,240,36,85,8,21,23,31,14,35,24,7,6,13,24
NEW YORK KNICKS,240,35,77,4,11,12,14,9,28,15,7,8,14,27
SAN ANTONIO SPURS,240,27,66,4,10,25,34,8,30,11,9,7,12,13
VANCOUVER GRIZZLIES,240,29,66,4,13,25,28,10,29,16,7,9,24,24
UTAH JAZZ,240,40,82,3,9,15,18,6,25,26,13,11,13,28
