team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ORLANDO MAGIC,240,40,82,3,12,12,14,13,38,23,3,3,18,23
BOSTON CELTICS,240,32,78,2,14,24,32,6,30,20,10,3,9,21
HOUSTON ROCKETS,240,39,82,10,21,26,33,12,37,30,8,3,14,32
DALLAS MAVERICKS,240,28,74,6,16,37,45,10,31,16,5,3,16,31
MILWAUKEE BUCKS,240,36,93,9,22,32,37,15,30,20,6,8,11,41
DENVER NUGGETS,240,32,68,8,22,48,60,8,35,26,7,8,17,31
MIAMI HEAT,265,41,93,10,26,18,27,7,31,23,7,5,9,27
DETROIT PISTONS,265,35,83,7,15,25,32,13,40,19,5,6,19,29
SAN ANTONIO SPURS,240,33,72,6,13,17,29,11,37,20,5,4,16,21
INDIANA PACERS,240,32,83,2,12,11,22,13,32,20,7,7,10,27
LOS ANGELES LAKERS,265,47,95,9,27,13,29,14,34,29,5,11,6,16
LOS ANGELES CLIPPERS,265,46,93,6,13,16,25,11,37,20,3,3,11,27
NEW YORK KNICKS,240,34,80,5,11,15,19,15,39,23,5,4,11,17
MINNESOTA TIMBERWOLVES,240,33,85,2,12,11,12,5,33,25,9,4,7,21
TORONTO RAPTORS,240,31,71,8,15,33,43,15,24,20,4,3,14,30
PHOENIX SUNS,240,38,76,3,10,30,36,9,26,24,5,2,7,33
PHILADELPHIA 76ERS,265,44,95,5,14,14,17,17,40,25,7,5,14,20
SACRAMENTO KINGS,265,37,89,10,22,20,26,10,29,23,10,9,9,18
CHARLOTTE HORNETS,240,33,74,5,19,31,38,14,31,19,6,7,13,17
SEATTLE SUPERSONICS,240,42,83,9,13,11,18,12,24,33,4,5,10,27
GOLDEN STATE WARRIORS,240,36,80,0,8,30,42,18,27,20,9,1,20,19
VANCOUVER GRIZZLIES,240,41,84,1,8,18,22,11,24,30,7,5,20,30
