team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,38,71,7,16,25,39,13,37,24,4,1,18,25
DALLAS MAVERICKS,240,37,83,6,18,23,31,6,24,23,7,0,5,32
PORTLAND TRAIL BLAZERS,240,35,86,6,12,20,25,16,29,25,5,5,10,23
DENVER NUGGETS,240,45,86,7,20,19,24,11,29,29,8,8,9,19
UTAH JAZZ,240,41,83,6,9,21,22,13,25,32,5,2,9,28
INDIANA PACERS,240,29,63,3,10,40,41,5,24,20,7,4,10,23
CLEVELAND CAVALIERS,240,35,72,4,12,21,24,11,27,16,8,3,19,31
MIAMI HEAT,240,31,69,10,22,31,35,9,20,15,8,6,11,21
CHARLOTTE HORNETS,240,33,81,4,11,13,17,3,37,28,6,3,9,15
MINNESOTA TIMBERWOLVES,240,30,78,1,3,13,17,7,42,18,4,5,14,19
NEW YORK KNICKS,240,33,74,8,14,17,19,17,27,23,3,1,18,30
PHILADELPHIA 76ERS,240,25,57,1,9,20,30,7,22,19,5,1,20,26
GOLDEN STATE WARRIORS,240,33,93,2,9,19,23,20,30,15,10,3,14,18
SAN ANTONIO SPURS,240,40,82,6,20,19,24,12,37,24,7,9,16,18
WASHINGTON WIZARDS,240,29,78,3,14,26,37,13,28,18,6,6,13,29
SEATTLE SUPERSONICS,240,38,88,5,11,26,33,17,34,23,6,5,13,28
ATLANTA HAWKS,240,32,81,3,7,11,11,10,40,18,6,10,13,13
TORONTO RAPTORS,240,33,93,1,8,5,5,14,34,27,7,7,10,14
SACRAMENTO KINGS,240,39,85,5,15,12,18,10,31,25,7,4,8,20
VANCOUVER GRIZZLIES,240,39,87,2,9,13,21,17,34,21,4,5,12,16
