team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,31,80,6,17,9,16,13,28,20,4,2,11,24
ATLANTA HAWKS,240,34,75,5,13,14,17,10,35,17,4,5,13,19
INDIANA PACERS,240,29,65,5,9,27,35,9,34,23,9,7,19,32
CHICAGO BULLS,240,28,70,4,10,25,34,8,24,22,7,5,14,30
MINNESOTA TIMBERWOLVES,240,41,91,4,13,13,17,21,26,26,5,6,17,31
GOLDEN STATE WARRIORS,240,44,85,3,11,29,38,16,26,29,15,7,11,17
SAN ANTONIO SPURS,240,35,77,6,12,10,24,15,32,15,12,7,12,19
HOUSTON ROCKETS,240,32,77,3,9,12,19,14,30,17,3,5,17,18
LOS ANGELES LAKERS,240,34,76,6,13,7,19,14,33,18,1,6,11,19
MIAMI HEAT,240,32,79,3,16,12,16,11,31,14,5,4,5,20
DETROIT PISTONS,240,31,81,3,8,24,26,14,41,16,7,7,21,23
PHOENIX SUNS,240,31,84,4,8,18,25,11,31,20,8,4,16,28
WASHINGTON WIZARDS,240,30,82,2,5,10,23,18,41,14,7,4,23,20
SACRAMENTO KINGS,240,41,97,7,22,17,23,14,40,19,14,12,9,19
UTAH JAZZ,240,38,88,3,9,16,20,14,28,25,8,5,11,22
TORONTO RAPTORS,240,41,89,8,22,13,19,16,32,29,7,9,11,19
