team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,50,82,3,7,20,34,15,35,31,3,1,14,26
LOS ANGELES CLIPPERS,240,38,93,4,16,23,31,18,22,13,7,5,10,32
ATLANTA HAWKS,240,35,75,3,11,5,8,5,16,25,10,4,15,16
MILWAUKEE BUCKS,240,48,86,8,13,7,11,19,32,32,6,2,16,18
MIAMI HEAT,240,31,71,6,14,24,28,10,26,22,10,4,23,26
PHOENIX SUNS,240,41,77,1,6,17,27,10,27,33,12,4,16,29
TORONTO RAPTORS,240,38,81,13,20,20,27,12,28,25,10,2,11,23
PORTLAND TRAIL BLAZERS,240,34,77,3,14,19,24,14,31,22,6,2,17,23
DALLAS MAVERICKS,240,41,88,9,20,18,23,14,26,20,10,1,16,24
SACRAMENTO KINGS,240,50,93,14,27,16,27,19,31,29,7,5,19,20
NEW JERSEY NETS,240,38,77,4,10,24,28,5,26,18,13,3,11,27
SAN ANTONIO SPURS,240,40,85,5,12,21,27,20,32,26,3,7,18,22
ORLANDO MAGIC,240,37,92,5,13,8,16,18,33,22,10,6,15,18
WASHINGTON WIZARDS,240,31,73,4,13,19,23,6,32,25,10,6,18,21
