team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,39,81,3,6,28,31,13,29,22,11,2,17,25
BOSTON CELTICS,240,41,76,4,8,20,28,7,26,21,8,3,15,27
NEW JERSEY NETS,240,40,86,5,19,18,23,15,23,22,5,5,12,21
CHARLOTTE HORNETS,240,46,82,6,10,21,27,9,30,37,8,5,11,20
GOLDEN STATE WARRIORS,240,36,90,2,10,22,34,18,22,17,14,3,17,32
LOS ANGELES LAKERS,240,42,84,6,19,29,38,17,36,30,8,6,21,30
CHICAGO BULLS,240,25,69,3,15,14,17,6,30,20,12,2,19,15
NEW YORK KNICKS,240,33,73,2,11,10,11,9,33,19,11,3,17,20
ATLANTA HAWKS,240,36,86,1,12,17,30,11,29,12,13,11,16,26
ORLANDO MAGIC,240,40,88,2,3,21,28,18,39,18,9,4,20,27
TORONTO RAPTORS,240,38,86,2,10,15,22,16,27,20,8,3,13,22
PHILADELPHIA 76ERS,240,41,74,4,9,20,22,6,30,25,7,4,15,17
SACRAMENTO KINGS,240,34,87,5,15,20,26,15,21,21,12,4,21,18
PHOENIX SUNS,240,46,85,7,13,15,22,15,37,35,13,7,26,27
DETROIT PISTONS,240,39,75,6,14,20,28,8,31,19,10,3,14,25
PORTLAND TRAIL BLAZERS,240,38,85,4,14,15,21,12,26,25,8,5,12,22
LOS ANGELES CLIPPERS,240,30,76,3,13,15,21,11,30,19,3,7,10,19
SAN ANTONIO SPURS,240,42,84,3,6,16,25,15,33,20,4,6,7,20
