team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
PHILADELPHIA 76ERS,240,30,73,2,6,15,29,8,36,14,8,6,24,23
BOSTON CELTICS,240,36,93,1,15,20,25,17,33,21,14,7,15,29
LOS ANGELES CLIPPERS,240,47,89,5,17,13,22,19,27,25,3,7,9,20
GOLDEN STATE WARRIORS,240,38,86,3,11,24,28,17,26,25,4,6,6,19
MIAMI HEAT,240,39,78,6,13,21,28,9,29,27,9,5,10,23
INDIANA PACERS,240,37,75,8,15,14,16,3,29,21,5,2,11,25
SACRAMENTO KINGS,240,41,85,9,23,15,19,9,24,24,8,3,14,26
LOS ANGELES LAKERS,240,46,98,3,11,14,21,26,33,28,6,6,17,21
CLEVELAND CAVALIERS,240,27,68,0,12,18,28,5,28,10,4,2,20,28
MILWAUKEE BUCKS,240,39,85,4,14,21,24,13,36,26,9,3,13,29
ORLANDO MAGIC,240,39,86,1,7,12,14,17,27,23,3,6,28,24
NEW JERSEY NETS,240,49,87,8,18,23,30,11,24,34,14,5,14,20
SAN ANTONIO SPURS,240,32,83,3,12,13,18,10,27,19,7,3,8,21
NEW YORK KNICKS,240,34,70,5,12,20,24,6,40,21,4,1,15,18
TORONTO RAPTORS,240,35,82,6,19,23,29,10,36,23,4,4,12,24
SEATTLE SUPERSONICS,240,40,95,3,20,14,21,16,34,21,5,2,9,26
PORTLAND TRAIL BLAZERS,240,35,68,10,17,22,24,9,39,18,4,6,18,19
WASHINGTON WIZARDS,240,34,89,6,10,12,21,12,21,23,10,1,5,22
