team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,43,89,7,17,18,26,15,18,23,11,2,12,24
ATLANTA HAWKS,240,45,82,1,4,25,31,19,28,27,7,8,18,20
TORONTO RAPTORS,240,34,74,11,21,20,24,8,29,24,9,10,23,26
CLEVELAND CAVALIERS,240,39,80,2,9,16,21,7,32,30,10,5,18,26
GOLDEN STATE WARRIORS,240,38,96,2,7,8,15,12,26,19,12,3,16,25
HOUSTON ROCKETS,240,44,88,7,23,26,32,15,40,30,8,7,16,13
DALLAS MAVERICKS,240,41,85,13,26,17,18,12,29,24,5,1,8,17
LOS ANGELES CLIPPERS,240,42,83,5,12,13,15,12,25,20,7,4,11,18
PHOENIX SUNS,240,25,78,7,24,21,31,17,21,15,9,0,13,26
MIAMI HEAT,240,28,60,5,14,20,29,9,37,19,6,4,22,29
PHILADELPHIA 76ERS,240,37,76,4,10,24,30,12,31,24,11,5,18,21
MINNESOTA TIMBERWOLVES,240,39,85,5,8,17,23,13,25,26,10,6,14,24
INDIANA PACERS,240,39,86,7,20,21,23,13,35,25,4,2,17,25
NEW JERSEY NETS,240,41,94,5,14,24,30,14,26,24,9,2,6,24
BOSTON CELTICS,240,34,92,4,18,15,27,13,20,23,6,5,12,29
ORLANDO MAGIC,240,47,85,5,9,23,33,13,39,24,3,10,16,22
SAN ANTONIO SPURS,240,33,69,1,10,22,24,8,35,22,3,6,16,22
PORTLAND TRAIL BLAZERS,240,33,82,5,14,14,18,9,23,21,8,4,8,18
NEW YORK KNICKS,240,38,86,5,18,14,14,11,29,12,6,2,15,22
SACRAMENTO KINGS,240,39,77,4,11,21,28,10,28,28,8,5,11,16
