team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
NEW YORK KNICKS,240,30,82,2,8,8,11,10,20,12,8,0,8,19
ATLANTA HAWKS,240,34,75,2,10,13,14,13,37,17,3,8,17,16
UTAH JAZZ,240,37,82,3,6,12,16,13,30,21,6,10,14,21
CHARLOTTE HORNETS,240,35,77,7,11,10,14,9,30,24,7,6,15,24
GOLDEN STATE WARRIORS,240,35,97,3,17,15,25,16,26,24,13,11,14,27
DENVER NUGGETS,240,52,96,3,6,15,21,18,45,40,5,15,20,27
INDIANA PACERS,240,30,76,6,15,26,36,10,29,14,7,6,18,29
LOS ANGELES LAKERS,240,41,89,4,7,21,26,17,33,22,5,6,13,31
VANCOUVER GRIZZLIES,240,33,71,5,18,20,27,6,23,24,8,3,17,22
PORTLAND TRAIL BLAZERS,240,39,77,3,16,20,26,12,35,28,10,5,16,24
BOSTON CELTICS,240,38,85,4,18,24,28,13,29,20,8,4,15,30
TORONTO RAPTORS,240,39,79,8,17,28,33,11,27,29,7,10,15,27
