team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,240,39,78,3,8,25,34,17,31,26,4,5,19,19
ATLANTA HAWKS,240,40,84,9,19,19,24,10,17,22,14,3,8,26
PORTLAND TRAIL BLAZERS,240,30,74,6,18,19,26,10,24,17,6,7,14,27
SAN ANTONIO SPURS,240,33,75,5,18,27,35,14,31,24,8,6,10,20
PHILADELPHIA 76ERS,240,33,72,7,11,16,20,14,27,19,5,6,22,23
SEATTLE SUPERSONICS,240,36,78,6,13,15,19,12,20,21,10,5,10,21
