team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
VANCOUVER GRIZZLIES,240,41,78,4,11,13,20,9,26,20,6,5,12,24
ATLANTA HAWKS,240,43,89,6,14,17,30,22,29,25,8,3,13,20
NEW JERSEY NETS,240,37,80,1,13,23,29,12,31,17,6,7,24,26
DALLAS MAVERICKS,240,44,88,9,13,25,27,11,32,32,11,5,13,25
INDIANA PACERS,315,42,108,4,18,30,38,16,38,26,10,10,15,33
HOUSTON ROCKETS,315,46,106,5,18,30,35,9,49,18,7,4,13,34
BOSTON CELTICS,240,36,71,8,27,27,39,6,25,24,10,4,16,33
LOS ANGELES LAKERS,240,38,81,8,23,28,33,13,32,24,11,3,17,28
CLEVELAND CAVALIERS,240,30,77,3,7,16,20,9,28,16,8,6,12,16
NEW YORK KNICKS,240,39,80,3,8,17,21,8,32,25,4,11,9,17
SACRAMENTO KINGS,265,37,86,8,21,32,36,10,35,26,14,4,18,28
ORLANDO MAGIC,265,40,98,10,23,18,22,17,36,27,9,3,21,31
PORTLAND TRAIL BLAZERS,240,32,68,8,19,18,19,8,30,24,5,6,16,23
SEATTLE SUPERSONICS,240,36,73,11,19,16,18,4,26,22,9,7,10,19
MILWAUKEE BUCKS,240,41,89,10,23,9,12,10,30,20,8,4,11,25
TORONTO RAPTORS,240,31,87,6,17,29,32,21,33,20,6,15,15,15
