team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DENVER NUGGETS,240,38,90,4,15,8,10,15,29,19,7,8,15,16
ATLANTA HAWKS,240,44,91,4,18,7,13,16,35,30,10,2,14,15
MIAMI HEAT,240,37,64,6,17,17,24,6,32,29,5,3,15,20
CHICAGO BULLS,240,36,80,9,19,9,14,12,21,25,8,5,9,25
CLEVELAND CAVALIERS,240,35,82,5,11,22,31,11,29,15,4,2,7,24
LOS ANGELES CLIPPERS,240,38,77,6,15,22,32,10,29,26,3,9,8,24
MILWAUKEE BUCKS,240,31,80,4,16,20,27,13,38,18,8,6,14,26
SAN ANTONIO SPURS,240,25,79,2,14,25,32,13,33,20,9,4,15,24
HOUSTON ROCKETS,240,33,74,6,22,24,30,12,32,19,7,11,13,25
WASHINGTON WIZARDS,240,31,81,2,7,22,37,20,29,15,10,4,11,21
