team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SACRAMENTO KINGS,240,41,81,7,15,19,24,6,39,24,8,8,10,20
LOS ANGELES LAKERS,240,33,93,6,20,12,16,16,29,22,2,9,14,24
DENVER NUGGETS,240,40,90,4,13,12,15,15,35,28,6,7,14,16
NEW JERSEY NETS,240,40,92,8,17,11,15,16,31,18,8,9,13,11
ORLANDO MAGIC,240,38,83,5,12,15,19,11,29,25,8,6,20,33
PHILADELPHIA 76ERS,240,31,81,5,11,28,43,24,32,18,14,3,25,20
CLEVELAND CAVALIERS,240,35,79,3,11,21,34,13,33,17,6,6,16,24
PHOENIX SUNS,240,39,91,6,14,19,21,13,27,27,8,3,9,23
DALLAS MAVERICKS,240,38,83,8,19,10,13,9,37,26,6,5,16,25
PORTLAND TRAIL BLAZERS,240,31,86,3,13,19,31,16,29,22,12,4,15,22
MINNESOTA TIMBERWOLVES,240,42,84,3,5,6,10,11,24,29,8,3,11,20
SEATTLE SUPERSONICS,240,37,71,4,9,16,25,9,27,21,8,5,13,18
