team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
SAN ANTONIO SPURS,240,40,69,11,14,24,32,6,33,25,5,9,16,19
ATLANTA HAWKS,240,38,84,5,15,20,22,11,20,17,11,4,10,20
VANCOUVER GRIZZLIES,240,31,69,6,10,27,33,10,24,22,8,3,14,23
CLEVELAND CAVALIERS,240,42,82,5,9,20,25,15,27,29,6,2,13,23
HOUSTON ROCKETS,240,35,89,12,31,10,14,14,29,19,4,3,7,17
LOS ANGELES CLIPPERS,240,35,74,7,11,20,29,9,37,19,3,8,9,13
BOSTON CELTICS,240,40,88,14,30,19,20,7,24,30,12,6,9,21
NEW JERSEY NETS,240,39,82,2,15,18,21,11,33,23,2,7,22,22
DETROIT PISTONS,240,37,97,10,20,14,24,22,29,20,10,6,16,21
SACRAMENTO KINGS,240,41,84,5,19,16,18,7,40,25,13,5,20,20
PHOENIX SUNS,240,31,83,4,12,25,30,19,30,15,8,4,11,21
SEATTLE SUPERSONICS,240,31,75,4,13,22,26,9,27,20,6,5,15,26
PORTLAND TRAIL BLAZERS,240,40,68,4,12,17,21,5,25,21,5,3,14,23
UTAH JAZZ,240,37,74,6,15,19,25,11,23,23,9,7,10,21
