team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
DETROIT PISTONS,240,35,90,4,18,24,34,20,19,23,10,4,11,15
CLEVELAND CAVALIERS,240,49,83,9,12,10,15,13,33,38,6,11,18,24
SEATTLE SUPERSONICS,240,43,90,4,13,26,29,19,31,17,5,4,14,22
DALLAS MAVERICKS,240,39,78,12,26,20,30,10,23,21,5,6,14,27
CHICAGO BULLS,240,29,80,3,11,16,20,12,30,27,11,5,16,21
GOLDEN STATE WARRIORS,240,35,83,1,5,18,26,18,35,20,5,8,15,15
HOUSTON ROCKETS,240,40,79,10,17,11,13,10,27,24,6,2,10,16
INDIANA PACERS,240,36,73,6,13,11,18,12,27,23,4,5,13,19
NEW YORK KNICKS,240,30,78,5,18,20,23,11,30,16,14,1,14,24
ORLANDO MAGIC,240,31,77,5,11,17,23,15,29,16,6,3,19,19
PORTLAND TRAIL BLAZERS,240,39,78,6,8,20,28,15,28,22,10,8,15,23
WASHINGTON WIZARDS,240,35,78,2,8,22,26,11,22,13,8,5,14,27
