team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,34,79,4,15,19,22,9,31,22,7,6,19,27
BOSTON CELTICS,240,34,82,8,15,17,25,13,29,15,13,2,15,26
MIAMI HEAT,240,26,74,4,11,23,27,15,26,12,10,4,18,24
CHARLOTTE HORNETS,240,30,70,3,11,20,25,12,29,18,10,10,19,27
NEW JERSEY NETS,240,33,79,1,4,25,38,14,31,18,12,5,13,28
CHICAGO BULLS,240,29,71,3,11,21,33,9,32,21,6,7,18,29
SACRAMENTO KINGS,240,34,92,8,13,24,29,23,24,23,16,4,17,26
DETROIT PISTONS,240,33,74,3,12,24,29,14,31,18,10,8,25,26
PHILADELPHIA 76ERS,240,29,79,3,12,26,30,15,41,21,10,6,26,27
ORLANDO MAGIC,240,30,86,3,17,17,30,12,34,17,9,10,20,29
NEW YORK KNICKS,240,29,75,4,16,18,21,7,35,14,7,7,11,22
WASHINGTON WIZARDS,240,30,77,2,10,14,19,9,34,20,5,7,13,21
