team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
INDIANA PACERS,240,32,70,5,16,19,29,12,28,18,7,3,19,28
DALLAS MAVERICKS,240,35,75,6,15,18,21,8,24,18,8,7,13,24
GOLDEN STATE WARRIORS,240,38,95,4,12,17,28,16,35,21,7,14,15,29
DENVER NUGGETS,240,32,79,7,15,30,38,9,33,23,4,9,14,24
MILWAUKEE BUCKS,240,34,75,3,9,22,26,11,26,15,3,6,14,25
HOUSTON ROCKETS,240,38,75,12,27,27,32,9,27,21,5,6,14,30
VANCOUVER GRIZZLIES,240,36,87,5,13,22,25,18,22,23,12,2,14,23
LOS ANGELES CLIPPERS,240,38,79,2,15,13,20,15,29,21,7,5,20,20
ATLANTA HAWKS,240,26,78,4,15,13,15,14,26,20,6,1,17,21
NEW YORK KNICKS,240,34,68,7,13,19,21,2,34,22,4,5,12,21
PORTLAND TRAIL BLAZERS,240,29,66,4,11,20,25,10,26,24,5,6,25,29
PHOENIX SUNS,240,41,82,8,19,18,23,12,24,28,14,5,14,24
MINNESOTA TIMBERWOLVES,240,40,87,1,4,10,15,14,23,21,7,7,14,26
SAN ANTONIO SPURS,240,36,77,4,10,27,30,11,31,18,4,4,16,21
