team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
ATLANTA HAWKS,240,37,73,8,17,17,20,7,26,18,8,4,17,24
BOSTON CELTICS,240,35,79,10,21,26,34,17,22,22,10,2,12,18
DETROIT PISTONS,240,34,76,5,14,23,32,12,36,21,5,5,17,21
CHARLOTTE HORNETS,240,34,84,4,13,17,24,9,29,23,9,3,14,28
GOLDEN STATE WARRIORS,240,34,79,1,7,23,25,15,31,20,6,9,15,20
INDIANA PACERS,240,35,91,7,17,13,15,17,28,23,10,7,10,19
CLEVELAND CAVALIERS,240,30,72,3,7,13,18,8,38,20,7,3,21,23
MILWAUKEE BUCKS,240,35,85,6,22,13,16,9,32,25,10,4,10,19
SAN ANTONIO SPURS,265,40,84,4,9,10,22,11,30,25,7,5,19,21
MINNESOTA TIMBERWOLVES,265,39,78,3,9,18,25,5,36,30,12,5,18,30
MIAMI HEAT,240,29,77,4,13,11,16,12,26,16,9,4,13,18
PHILADELPHIA 76ERS,240,38,73,3,7,15,17,7,28,23,8,6,15,19
NEW YORK KNICKS,240,32,79,1,13,25,31,6,27,17,16,0,14,30
PHOENIX SUNS,240,29,67,6,21,21,32,10,38,20,5,4,28,30
DALLAS MAVERICKS,240,41,83,4,10,13,18,13,34,20,10,9,16,20
SEATTLE SUPERSONICS,240,33,89,8,26,21,25,19,28,21,10,3,16,17
