team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
TORONTO RAPTORS,240,32,94,1,9,14,18,15,19,19,7,1,6,19
CHARLOTTE HORNETS,240,42,72,1,6,18,23,9,39,29,3,7,13,16
NEW JERSEY NETS,240,24,67,3,10,25,34,8,30,17,7,3,17,25
DETROIT PISTONS,240,35,79,6,11,21,26,14,36,15,8,7,15,26
GOLDEN STATE WARRIORS,240,30,80,3,9,20,28,15,22,18,5,3,15,24
LOS ANGELES CLIPPERS,240,40,77,6,14,20,28,10,32,26,9,6,12,24
DENVER NUGGETS,240,39,82,12,18,17,25,5,32,27,7,3,13,19
MINNESOTA TIMBERWOLVES,240,38,86,5,14,19,19,9,37,26,7,5,16,20
MIAMI HEAT,240,26,63,3,17,29,35,6,38,13,1,8,15,21
NEW YORK KNICKS,240,31,83,1,14,18,26,13,28,10,8,6,7,29
UTAH JAZZ,240,36,75,2,9,14,22,9,28,28,11,1,18,28
ORLANDO MAGIC,240,28,63,5,12,25,36,8,24,14,8,7,21,23
WASHINGTON WIZARDS,240,37,83,3,13,10,16,14,33,23,9,1,23,29
PHILADELPHIA 76ERS,240,32,75,3,8,26,36,11,32,16,11,11,17,17
SACRAMENTO KINGS,240,34,94,0,13,11,14,21,35,18,6,4,17,21
SAN ANTONIO SPURS,240,30,77,5,10,17,29,14,28,18,9,8,15,17
PHOENIX SUNS,290,40,95,7,14,19,29,13,37,20,11,9,18,32
VANCOUVER GRIZZLIES,290,38,94,3,10,30,35,11,41,21,8,3,19,25
